filename,fid,similarity_score_cap_col_1,similarity_score_cap_col_2,similarity_score_cap_col_3,similarity_score_cap_col_4,similarity_score_cap_col_5
Setting Drink Down.wav,1fb7ce953b0fef3b1b7161f4b2467ac6,0.0003020763397216,0.0002095699310302,0.0002152323722839,0.0002366304397583,0.0001180171966552
Sewanee Carillon.wav,b1ee8ea8e2b7cf0f3948d679048290b5,0.0006842613220214,0.0011255145072937,0.0010878443717956,0.0013022422790527,0.0005545020103454
Shalda Creek.wav,69aabe670b4eddce094ee44c8520475f,0.0007469654083251,0.0006331205368041,0.0007986426353454,0.0007668733596801,0.0004613995552062
Shed Creaks.wav,59021db2ea8549d1d2bd001cd081e843,0.0002345442771911,0.0003076195716857,0.0003402829170227,0.0003319978713989,0.0002459287643432
Shed Door Movement.wav,314a8e900852565cff79ccd7656e68c1,0.0004439353942871,0.0008249878883361,0.0012813806533813,0.0007610917091369,0.0007088184356689
Sheeheep.wav,615858037c50914e7fa6fbaaaf8474e6,0.0015128850936889,0.0014439225196838,0.0015912055969238,0.0014125704765319,0.0015845298767089
Sheep.wav,617cb97a5ca823cd0fdfccc6d279c195,0.0003598928451538,0.0003448724746704,0.0003222227096557,0.0003565549850463,0.0003504753112792
Shelby talk.wav,f2cb70ddbda0c6c17a0c8cb3498cb3b6,0.0006046891212463,0.0006571412086486,0.0005578994750976,0.0006480813026428,0.0007229447364807
SheryT_mixdown.wav,874831e098621596f94dc6fa54677dde,0.0003554821014404,0.0003482103347778,0.0003433227539062,0.000365138053894,0.0003764629364013
Ship Fender.wav,1df343769af5161669666ec34fd79707,3.3736228942871094e-05,6.633996963500977e-05,4.017353057861328e-05,4.315376281738281e-05,6.16908073425293e-05
Ship groans in harbour.wav,09b00202c542217b0b822618bc066285,0.0004124641418457,0.0004495978355407,0.0004167556762695,0.0004223585128784,0.0004115104675292
Shipwreck underwater 01.wav,f7ce763ffaa60688d2c26c3314366848,0.0011588335037231,0.0013284683227539,0.0011877417564392,0.0013731718063354,0.0013940930366516
Shop Door Knocks Original.wav,b71c7be9ecf18806f44aa8ce82ac049d,0.0002380609512329,0.0002661943435668,0.0002596378326416,0.0002022385597229,0.0002216100692749
"Shopping Mall, ambience.wav",2715be4e67cf114ebed8e426837d71d8,0.0003969669342041,0.0004466772079467,0.0005064010620117,0.0005214810371398,0.0003930330276489
Short Hailstorm.wav,e73fd355ac7d95db4ee6f08b0d7f433b,0.000417411327362,0.0003678798675537,0.0004869699478149,0.0004879832267761,0.0003648400306701
Short room tone from a medium sized house room.wav,c24b910db8485c572857e50141d69d1a,0.000452697277069,0.0005551576614379,0.000521183013916,0.0006284713745117,0.000513732433319
Show Opener - LiftOff.wav,8d4d5e603fba72f384e2735a22b80c8e,0.0030242800712585,0.0029380321502685,0.0034664869308471,0.003009557723999,0.0031498074531555
Shower 1.wav,7434939afe91043495748eb8567fc799,0.000592827796936,0.0007174015045166,0.0005802512168884,0.0005663633346557,0.000577688217163
Shower 2.wav,21edc21a96bc57fc583de5feab4dc440,0.0008466243743896,0.000646948814392,0.0004449486732482,0.000419795513153,0.0006313323974609
Shower Running 02.wav,736e3dda18bf2074b52c86eca0aeb4c8,0.0013284683227539,0.0013690590858459,0.0014964342117309,0.0015207529067993,0.0012804269790649
Shower faucet.wav,25a9fddc78f9001ce08d3f9922834988,0.0003347396850585,0.0003460049629211,0.0002844333648681,0.0003142356872558,0.0003728866577148
