"Name","ID","AdamOptimizer-args-lr","DualEncoderModel-audio_enc-conv_dropout","DualEncoderModel-audio_enc-conv_fine_tune_from","DualEncoderModel-audio_enc-fc_dropout","DualEncoderModel-audio_enc-fc_units","criteria-infonce_loss-args-temperature","DualEncoderModel-text_enc-fc_units","after_train_eval_obj","val_obj","eval_Txt2Audio_mAP","eval_Txt2Audio_R10","eval_Txt2Audio_R5","val_Txt2Audio_mAP","val_Txt2Audio_R10","val_Txt2Audio_R5","eval_Audio2Txt_mAP","eval_Audio2Txt_R10","eval_Audio2Txt_R5","val_Audio2Txt_mAP","val_Audio2Txt_R10","val_Audio2Txt_R5"
"colorful-sweep-9","u9d5xbib","0.00024260084259555175","0.22727212582370432","4","0.22237305347329409","739","0.09551934756550062","290","2.490871281522076","2.3260697451504795","0.21752555631503032","0.46545454545454545","0.3364593301435407","0.20113450292397703","0.4574162679425837","0.3247846889952153","0.08522267790688859","0.1745454545454545","0.0997129186602876","0.0849368876737298","0.16995215311004794","0.10200956937799088"
"faithful-sweep-68","u6q670m3","0.0006320122595963285","0.15046762447454137","5","0.41614460949099985","639","0.08722817061560954","292","2.492843067682371","2.3264526237141","0.21460438976228485","0.4769377990430622","0.33875598086124403","0.2132289055973268","0.47291866028708135","0.3381818181818182","0.08616283132072615","0.1730143540669854","0.10526315789473738","0.08156421356421369","0.1695693779904308","0.095502392344498"
"avid-sweep-81","ydqlx0hi","0.0006783991010026008","0.1512063041419273","4","0.25911102770567196","630","0.08132106887847695","1112","2.3827006671486832","2.3321427468097573","0.22241900205058135","0.4826794258373206","0.3523444976076555","0.21903827751196175","0.4838277511961723","0.3485167464114833","0.09323201944254585","0.18028708133971272","0.11177033492823012","0.0925506189716718","0.18430622009569397","0.10794258373205792"
"azure-sweep-78","4wel0ai0","0.0006887835022518793","0.16683406973452913","3","0.23085410966203135","715","0.08575597338035734","355","2.402415657552277","2.3360441561901206","0.23336637047163364","0.489377990430622","0.3517703349282297","0.21923414597098795","0.482488038277512","0.3406698564593301","0.09845325434799128","0.19138755980861227","0.12019138755980908","0.0932822966507178","0.1818181818181819","0.10966507177033534"
"eager-sweep-84","5ntqoiuh","0.0007678298097681044","0.20437527126640612","3","0.363288837603605","879","0.09594237452763375","265","2.3952643813156502","2.3369781970977783","0.219313207260576","0.47253588516746414","0.34258373205741627","0.21186124401913892","0.4807655502392345","0.3389473684210526","0.08452092352092361","0.17377990430621995","0.10373205741626838","0.08531282752335398","0.17052631578947366","0.10373205741626838"
"sweet-sweep-91","gqzcg9yu","0.0006431925485594835","0.16429896905408695","4","0.2068091529768737","437","0.07198897683196137","975","2.3500070411984515","2.342892112153949","0.22463332573858924","0.4897607655502392","0.35617224880382775","0.21781119465330087","0.4830622009569378","0.3488995215311005","0.09625966431229592","0.18870813397129177","0.11578947368421108","0.0913874838611682","0.1860287081339711","0.10966507177033534"
"misunderstood-sweep-96","99wo4q3o","0.0007721880938863238","0.24423834381940912","4","0.14965003371637692","443","0.0742848151982664","615","2.356284560953698","2.350815516529661","0.23185357332725764","0.4897607655502392","0.36","0.2212594364699627","0.4865071770334928","0.3494736842105263","0.10481203007518808","0.1971291866028705","0.12421052631579","0.09403470798207653","0.18717703349282291","0.11234449760765594"
"royal-sweep-62","8sonyzri","0.0008557486339782559","0.2687691908617901","5","0.32533942292853335","436","0.08093026683056842","562","2.4650577532082067","2.352745431842226","0.2209763803448019","0.4874641148325359","0.34794258373205744","0.21371170350117696","0.47770334928229663","0.3368421052631579","0.08853763195868468","0.1756937799043062","0.10622009569378042","0.08276084149768372","0.17186602870813408","0.09837320574162715"
"peachy-sweep-51","t8u9x27h","0.0008188791526141322","0.2548314433188237","4","0.3390819778899113","568","0.07985336972755758","387","2.443155725554722","2.35462731664831","0.2231499202551838","0.483444976076555","0.35770334928229663","0.2170591630591631","0.4851674641148325","0.34679425837320577","0.08872605756816293","0.18028708133971277","0.10334928229665112","0.08928108149160793","0.17933014354066978","0.1075598086124406"
"efficient-sweep-67","t4oq47yl","0.0006995880177004637","0.20111038319260663","6","0.2446526277046003","2005","0.04898298314130515","305","2.4763211448018145","2.36010814074314","0.23156717551454375","0.4949282296650718","0.3563636363636364","0.2250521758942813","0.49435406698564593","0.3619138755980862","0.09797645629224584","0.1961722488038276","0.12019138755980922","0.09105559352927782","0.1867942583732056","0.11330143540669912"
